provincias,year,total_denuncias
MELGAR,2018,10
MELGAR,2019,79
MELGAR,2020,46
MELGAR,2021,68
MELGAR,2022,85
MELGAR,2023,164
MELGAR,2024,25
MOHO,2018,1
MOHO,2019,9
MOHO,2020,7
MOHO,2021,27
MOHO,2022,14
MOHO,2023,19
MOHO,2024,5
MORROPON,2018,666
MORROPON,2019,729
MORROPON,2020,643
MORROPON,2021,667
MORROPON,2022,807
MORROPON,2023,835
MORROPON,2024,126
MOYOBAMBA,2018,1223
MOYOBAMBA,2019,1165
MOYOBAMBA,2020,778
MOYOBAMBA,2021,1125
MOYOBAMBA,2022,1413
MOYOBAMBA,2023,1563
MOYOBAMBA,2024,290
NAZCA,2018,561
NAZCA,2019,574
NAZCA,2020,387
NAZCA,2021,397
NAZCA,2022,636
NAZCA,2023,643
NAZCA,2024,100
OCROS,2018,10
OCROS,2019,3
OCROS,2020,7
OCROS,2021,15
OCROS,2022,23
OCROS,2023,14
OCROS,2024,5
OTUZCO,2018,138
OTUZCO,2019,152
OTUZCO,2020,84
OTUZCO,2021,110
OTUZCO,2022,177
OTUZCO,2023,241
OTUZCO,2024,29
OXAPAMPA,2018,309
OXAPAMPA,2019,459
OXAPAMPA,2020,397
OXAPAMPA,2021,571
OXAPAMPA,2022,728
OXAPAMPA,2023,725
OXAPAMPA,2024,83
OYON,2018,115
OYON,2019,112
OYON,2020,57
OYON,2021,49
OYON,2022,76
OYON,2023,65
OYON,2024,13
PACASMAYO,2018,811
PACASMAYO,2019,995
PACASMAYO,2020,631
PACASMAYO,2021,949
PACASMAYO,2022,1372
PACASMAYO,2023,1535
PACASMAYO,2024,289
PACHITEA,2018,43
PACHITEA,2019,99
PACHITEA,2020,43
PACHITEA,2021,84
PACHITEA,2022,111
PACHITEA,2023,108
PACHITEA,2024,18
PADRE ABAD,2018,76
PADRE ABAD,2019,434
PADRE ABAD,2020,256
PADRE ABAD,2021,386
PADRE ABAD,2022,456
PADRE ABAD,2023,420
PADRE ABAD,2024,68
PAITA,2018,756
PAITA,2019,684
PAITA,2020,466
PAITA,2021,554
PAITA,2022,804
PAITA,2023,912
PAITA,2024,156
PALLASCA,2018,30
PALLASCA,2019,38
PALLASCA,2020,49
PALLASCA,2021,59
PALLASCA,2022,76
PALLASCA,2023,74
PALLASCA,2024,5
PALPA,2018,79
PALPA,2019,100
PALPA,2020,68
PALPA,2021,118
PALPA,2022,129
PALPA,2023,180
PALPA,2024,31
PARINACOCHAS,2018,68
PARINACOCHAS,2019,72
PARINACOCHAS,2020,48
PARINACOCHAS,2021,76
PARINACOCHAS,2022,101
PARINACOCHAS,2023,109
PARINACOCHAS,2024,14
PARURO,2018,36
PARURO,2019,21
PARURO,2020,22
PARURO,2021,34
PARURO,2022,69
PARURO,2023,95
PARURO,2024,5
PASCO,2018,610
PASCO,2019,671
PASCO,2020,412
PASCO,2021,532
PASCO,2022,784
PASCO,2023,1314
PASCO,2024,172
PATAZ,2018,104
PATAZ,2019,175
PATAZ,2020,150
PATAZ,2021,258
PATAZ,2022,330
PATAZ,2023,294
PATAZ,2024,55
PAUCAR DEL SARA SARA,2018,27
PAUCAR DEL SARA SARA,2019,24
PAUCAR DEL SARA SARA,2020,46
PAUCAR DEL SARA SARA,2021,42
PAUCAR DEL SARA SARA,2022,88
