año_hecho,departamen,provincia,distrito,denuncias_dep,geom
2021,LIMA,LIMA,SAN MIGUEL,5,-77.0755941|-77.0979268|-77.0834864|-77.0940156999999|-77.0790883|-12.0825111999999|-12.0755346|-12.0812465|-12.0812440999999|-12.0922626999999
2021,LIMA,LIMA,SANTA ANITA,7,-76.9572269|-76.9578638|-76.9703673|-76.9729399999999|-76.9553042|-76.9482868|-12.035205|-12.0299906|-12.0433030999999|-12.0473158|-12.0445301999999|-12.0375419
2021,LIMA,LIMA,SANTIAGO DE SURCO,18,-76.9905287999999|-76.9931625|-76.9879921|-76.9880227|-76.9880585|-76.9895422|-76.985064|-76.9840852|-76.9840973999999|-76.9825926999999|-76.9801879999999|-76.9840402|-76.9899691|-76.9915991|-76.9884517|-76.9879687|-76.9891279999999|-76.9986866|-12.1447785999999|-12.1669231999999|-12.1680488|-12.1668824999999|-12.1622778|-12.1550799999999|-12.1450996999999|-12.1471635999999|-12.1442269999999|-12.1288135|-12.1217816999999|-12.11563|-12.1121974|-12.1148914|-12.1177655999999|-12.11864|-12.1195647|-12.1283407999999
2021,LIMA,LIMA,SURQUILLO,8,-77.012222|-77.016699|-77.0194343|-77.01656|-12.1122463999999|-12.1118356|-12.1104344|-12.107045
2021,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,2,-76.9348669999999|-76.928667|-12.1949043|-12.1987811999999
2021,MOQUEGUA,ILO,ILO,6,-71.3468091|-71.33833332|-71.3425358|-71.3404667|-17.6680838999999|-17.652237918|-17.6504272|-17.6416652999999
2021,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,1,-70.9328138|-17.1927360999999
2021,PASCO,OXAPAMPA,CONSTITUCION,1,-75.016037|-9.84889649999997
2021,PIURA,AYABACA,AYABACA,1,-79.7147196|-4.63890009999995
2021,PIURA,MORROPON,CHULUCANAS,7,-80.1588021|-80.1564847|-80.1596041|-80.1578541|-80.1662914|-80.1728428|-5.08808939999994|-5.09688919999997|-5.09362599999997|-5.08910049999997|-5.09636019999994|-5.11196089999993
2021,PIURA,PAITA,PAITA,3,-81.104478404|-81.111025006|-81.113785669|-5.08785366599994|-5.09112024599995|-5.08796320299996
